1;0.00
2;0.00
3;0.40
4;0.33
5;0.30
6;1.00
7;0.33
8;0.00
9;0.50
10;0.40
11;0.50
12;0.00
13;0.25
14;0.20
15;0.40
16;0.30
17;0.33
18;0.00
19;0.00
20;0.80
21;0.50
22;0.10
23;0.00
24;0.00
25;0.30
26;0.30
27;1.00
28;0.38
29;0.20
30;0.00
31;0.60
32;0.50
33;0.80
34;0.60
35;0.00
36;0.33
37;0.90
38;0.30
39;0.30
40;0.10
41;0.33
42;0.60
43;0.30
44;0.90
45;0.20
46;0.44
47;0.12
48;0.12
49;0.60
50;0.50
51;0.60
52;1.00
53;0.00
54;0.30
55;0.00
56;0.00
57;0.25
58;0.50
59;0.10
60;0.20
61;0.50
62;0.00
63;0.00
64;0.38
65;0.30
66;0.00
67;0.00
68;0.33
69;0.57
70;0.25
71;0.00
72;0.00
73;0.44
74;0.50
75;0.33
76;0.33
77;0.20
78;0.10
79;0.00
80;0.33
81;0.20
82;0.20
83;0.50
84;0.00
85;0.00
86;0.00
87;0.00
88;0.00
89;0.33
90;0.50
91;0.10
92;0.40
93;0.40
94;1.00
95;0.25
96;0.50
97;0.00
98;1.00
99;0.60
